"move from visual basic to php"	0
"switched from c++ to perl"	0
"moved to php from ruby"	0
"switch from node to ruby"	1
"moved to php from perl"	5
"switch from c++ to c#"	2130
"move from php to c++"	0
"switch from c to php"	1
"moved to visual basic from c#"	0
"switched to c# from ruby"	0
"moved from visual basic to go"	0
"switch to python from perl"	6
"switched to php from python"	1
"switch to java from go"	0
"move from c++ to node"	0
"moved from visual basic to ruby"	0
"switch from c# to go"	0
"switched to java from perl"	1
"move from c++ to perl"	0
"switched from php to node"	483
"moved to ruby from php"	3
"switched to node from php"	0
"move from go to java"	0
"switch to go from c#"	0
"move to node from go"	0
"switched to java from php"	320
"moved to perl from go"	0
"switch from swift to python"	1
"switched from go to ruby"	0
"switched to go from node"	1
"move to c++ from c"	2330
"move to perl from ruby"	0
"move to java from visual basic"	2
"moved from c++ to node"	0
"moved to c# from c++"	1
"switched from c# to php"	2
"switch from python to ruby"	1630
"switched from c to java"	1880
"switch from node to c"	0
"switch to java from visual basic"	3
"switched to node from c"	0
"switch to python from php"	960
"switch to node from ruby"	1
"stay with c#"	25300
"move from php to ruby"	919
"switched from c++ to python"	540
"move from java to node"	1430
"switch from ruby to python"	770
"switch to perl from swift"	0
"move to c from ruby"	0
"moved to ruby from perl"	2
"move to php from c#"	0
"moved to c# from java"	5
"moved from php to perl"	0
"move from c# to c"	2340
"moved from c# to node"	1
"switched to perl from php"	3
"move from node to perl"	0
"switched to c# from c++"	442
"switched from swift to ruby"	0
"switch from go to node"	2
"move to node from visual basic"	0
"switched from perl to go"	0
"move from node to ruby"	0
"switched from perl to php"	307
"switched to c++ from node"	0
"switched to ruby from php"	354
"switched from node to java"	0
"switch to perl from c#"	0
"move from c# to node"	1
"moved from node to c"	0
"moved to c from c#"	0
"switch to python from c++"	0
"stayed with swift"	32200
"switch from c to visual basic"	4
"moved to visual basic from swift"	0
"moved to go from c++"	0
"switched from c to go"	5
"switch from ruby to go"	6
"move to c++ from swift"	0
"moved from perl to php"	395
"move from swift to ruby"	0
"switched to c# from c"	9
"moved from perl to c++"	1
"switched from go to c"	1
"switch from ruby to node"	4
"move to visual basic from python"	0
"switched to c++ from php"	1
"moved to php from swift"	0
"move to ruby from node"	0
"move to visual basic from java"	0
"switch to php from java"	4
"switch from node to visual basic"	0
"switched from python to node"	192
"switched from c to python"	992
"switched from node to c++"	1
"moved from go to php"	0
"moved to visual basic from ruby"	0
"switched from node to c#"	0
"moved from java to c#"	1430
"moved to php from c"	1
"move to ruby from c"	0
"switched from visual basic to perl"	1
"moved from ruby to perl"	0
"moved to java from ruby"	1
"moved from visual basic to php"	0
"moved to c from php"	0
"moved from perl to c"	5
"moved from ruby to php"	4
"switched from ruby to node"	4
"move from python to go"	4360
"switched to perl from swift"	0
"switch to php from c++"	0
"switched to visual basic from java"	0
"move from node to c++"	0
"move from python to perl"	1
"switched to ruby from c"	0
"switch from visual basic to swift"	0
"switch from visual basic to python"	4
"moved from visual basic to node"	0
"switched to php from c#"	0
"switch to c++ from perl"	0
"move to dart from go"	0
"switch to matlab from r"	0
"moved to ruby from clojure"	0
"move from node to rust"	0
"switched from haskell to visual basic"	0
"switched from pascal to ruby"	0
"switch from rust to c"	3
"move from lisp to c"	4
"move from objective c to swift"	1350
"switch to matlab from c"	0
"switched to prolog from scala"	0
"moved to r from ruby"	0
"move from r to c++"	0
"moved to perl from objective c"	0
"switch to fortran from dart"	0
"switched to scala from php"	1
"switched from r to rust"	0
"move to objective c from pascal"	0
"switched from cobol to lua"	0
"switch to swift from r"	0
"switch to perl from rust"	0
"switch to fortran from pascal"	0
"stay with pascal"	46500
"switched to node from objective c"	0
"switched to ruby from r"	0
"moved to prolog from lisp"	0
"switched to scala from erlang"	0
"moved from fortran to c"	7280
"switched to erlang from matlab"	0
"move from rust to perl"	0
"move from cobol to c#"	2
"moved to lua from prolog"	0
"switched from pascal to c++"	10
"switched from c to scala"	0
"move to r from dart"	0
"switched from objective c to c++"	0
"switch to perl from clojure"	0
"switched to java from clojure"	0
"moved from prolog to java"	0
"moved from java to fortran"	0
"move to lua from cobol"	0
"moved to fortran from clojure"	0
"switched from prolog to php"	0
"switch from rust to lua"	0
"moved from scala to prolog"	0
